SKU;Nombre_Comercial;Linea;Ambiente;Color;Descripcion_Corta;Descripcion_Larga;Medidas_Mueble;Peso;Embalaje;Cantidad_Paquetes;Foto_Medidas;Fotos_Mueble;Manual_PDF;Relacionados
GAC-ART9022BAHIUTGAMMEL-CA;Art 902-2 (Bahiut GAMMEL);Línea Clásica;;Carvalho;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/art-902-2-rm-medidas.png;/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/escena-art-902-2-carvalho.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2b-foto-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2b-foto-real-2.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2b-foto-real-3.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2b-foto-real-4.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-2.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-3.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-4.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-5.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-6.png;/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/a009022-ia-im05.pdf;
GAC-ART9022BAHIUTGAMMEL-RO;Art 902-2 (Bahiut GAMMEL);Línea Clásica;;Roble Miel;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/art-902-2-rm-medidas.png;/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/escena-art-902-2-roble-miel-blanco.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2b-foto-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2b-foto-real-2.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2b-foto-real-3.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2b-foto-real-4.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-2.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-3.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-4.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-5.png,/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/902-2c-foto-real-6.png;/articulos-gacela-muebles-2026/linea-clasica/art-902-2-bahiut-gammel/a009022-ia-im05.pdf;
GAC-ART427091MESAUPPSALAEXTENSIBLE;Art 427091 (Mesa UPPSALA extensible);Línea Comedores;;;;;;;;;/articulos-gacela-muebles-2026/linea-comedores/art-427091-mesa-uppsala-extensible/art-427091-medidas.png;/articulos-gacela-muebles-2026/linea-comedores/art-427091-mesa-uppsala-extensible/escena-escandinava-combo-427091.png,/articulos-gacela-muebles-2026/linea-comedores/art-427091-mesa-uppsala-extensible/art-427091-abierta-silueta.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-427091-mesa-uppsala-extensible/art-427091-extensible-riviera-pd-abierta.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-427091-mesa-uppsala-extensible/art-427091-extensible-riviera-pd.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-427091-mesa-uppsala-extensible/art-427091-extensible-riviera-pf-abierta.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-427091-mesa-uppsala-extensible/art-427091-extensible-riviera-pf.jpg;/articulos-gacela-muebles-2026/linea-comedores/art-427091-mesa-uppsala-extensible/a427091-ia-im00.pdf;
GAC-ART427330MESABRIS120X80;Art 427330 (Mesa BRIS 120x80);Línea Comedores;;;;;;;;;/articulos-gacela-muebles-2026/linea-comedores/art-427330-mesa-bris-120x80/art-427330-mesa-de-comedor-120x80-medidas.png;/articulos-gacela-muebles-2026/linea-comedores/art-427330-mesa-bris-120x80/escena-art-427330.png,/articulos-gacela-muebles-2026/linea-comedores/art-427330-mesa-bris-120x80/art-427300-mesa-de-comedor-bris-lumo.png,/articulos-gacela-muebles-2026/linea-comedores/art-427330-mesa-bris-120x80/art-427330-pf-real-1.png,/articulos-gacela-muebles-2026/linea-comedores/art-427330-mesa-bris-120x80/art-427330-silueta.png;;
GAC-ART427331MESARUNAR160X80;Art 427331 (Mesa RUNAR 160x80);Línea Comedores;;;;;;;;;/articulos-gacela-muebles-2026/linea-comedores/art-427331-mesa-runar-160x80/art-427331-mesa-de-comedor-160x80-medidas.png;/articulos-gacela-muebles-2026/linea-comedores/art-427331-mesa-runar-160x80/escena-art-427331.png,/articulos-gacela-muebles-2026/linea-comedores/art-427331-mesa-runar-160x80/art-427330-real-1.png,/articulos-gacela-muebles-2026/linea-comedores/art-427331-mesa-runar-160x80/art-427331-pf-real-1.png,/articulos-gacela-muebles-2026/linea-comedores/art-427331-mesa-runar-160x80/art-427331-silueta.png,/articulos-gacela-muebles-2026/linea-comedores/art-427331-mesa-runar-160x80/mesa-lumo-160x80-detalle-45.png,/articulos-gacela-muebles-2026/linea-comedores/art-427331-mesa-runar-160x80/mesa-lumo-160x80-detalle-pata-30.png;;
GAC-ART428330MESASOLVIK80X80;Art 428330 (Mesa SOLVIK 80x80);Línea Comedores;;;;;;;;;/articulos-gacela-muebles-2026/linea-comedores/art-428330-mesa-solvik-80x80/art-428330-mesa-de-comedor-80x80-medidas.png;/articulos-gacela-muebles-2026/linea-comedores/art-428330-mesa-solvik-80x80/escena-art-428330.png,/articulos-gacela-muebles-2026/linea-comedores/art-428330-mesa-solvik-80x80/art-428330-real-1.png,/articulos-gacela-muebles-2026/linea-comedores/art-428330-mesa-solvik-80x80/art-428330-real-2.png,/articulos-gacela-muebles-2026/linea-comedores/art-428330-mesa-solvik-80x80/art-428330-silueta.png;;
GAC-ART429090MESASKIEN;Art 429090 (Mesa SKIEN);Línea Comedores;;;;;;;;;/articulos-gacela-muebles-2026/linea-comedores/art-429090-mesa-skien/art-429090-medidas.png;/articulos-gacela-muebles-2026/linea-comedores/art-429090-mesa-skien/escena-429090-riviera.png,/articulos-gacela-muebles-2026/linea-comedores/art-429090-mesa-skien/art-429090-real-1.png,/articulos-gacela-muebles-2026/linea-comedores/art-429090-mesa-skien/art-429090-real-2.png,/articulos-gacela-muebles-2026/linea-comedores/art-429090-mesa-skien/art-429090-real-3.png,/articulos-gacela-muebles-2026/linea-comedores/art-429090-mesa-skien/art-429090-silueta.png,/articulos-gacela-muebles-2026/linea-comedores/art-429090-mesa-skien/escena-429090-sillas-blancas-riviera.png,/articulos-gacela-muebles-2026/linea-comedores/art-429090-mesa-skien/escena-429090-sillas-negras-riviera.png;/articulos-gacela-muebles-2026/linea-comedores/art-429090-mesa-skien/a429090-ia-im00.pdf;
GAC-ART429091MESASKARAEXTENSIBLE;Art 429091 (Mesa SKARA Extensible);Línea Comedores;;;;;;;;;/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/art-429091-medidas.png;/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/escena-combo-art-429091-sillas-blancas.png,/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/art-429091-extensible-riviera-pd-abierta.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/art-429091-extensible-riviera-pf-abierta.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/art-429091-extensible-riviera-pf.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/art-429091-detalle-de-correderas.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/art-429091-detalle-de-union-abriendo-tapas.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/art-429091-detalle-de-union-cerrando-tapas.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/art-429091-pl-extendida.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/art-429091-abierta-silueta.jpg;/articulos-gacela-muebles-2026/linea-comedores/art-429091-mesa-skara-extensible/a429091-ia-im00.pdf;
GAC-ART455090BARRADESAYUNADORVIKEN;Art 455090 (Barra-Desayunador VIKEN);Línea Comedores;;;;;;;;;/articulos-gacela-muebles-2026/linea-comedores/art-455090-barra-desayunador-viken/art-455090-medidas.png;/articulos-gacela-muebles-2026/linea-comedores/art-455090-barra-desayunador-viken/escena-art-455090.png,/articulos-gacela-muebles-2026/linea-comedores/art-455090-barra-desayunador-viken/art-455090-pd.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-455090-barra-desayunador-viken/art-455090-pf.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-455090-barra-desayunador-viken/art-455090-pfs.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-455090-barra-desayunador-viken/art-455090-pi.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-455090-barra-desayunador-viken/art-455090-pl.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-455090-barra-desayunador-viken/art-455090-silueta.png;/articulos-gacela-muebles-2026/linea-comedores/art-455090-barra-desayunador-viken/a455090-ia-im00.pdf;
GAC-ART557MESALEIR-BL;Art 557 (Mesa LEIR);Línea Comedores;;Blanco;;;;;;;/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/art-557-medidas.png;/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/escena-combo-comedor-557-blanco.png,/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/art-557-detalle-base-de-patas.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/art-557-detalle-pata.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/art-557-detalle-tapa-y-pata.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/art-557-pd.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/art-557-pf-silueta.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/art-557-pf.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/art-557-pi.jpg,/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/art-557-pl.jpg;/articulos-gacela-muebles-2026/linea-comedores/art-557-mesa-leir/a000557-ia-im02.pdf;
