SKU;Nombre_Comercial;Color;Linea;Ambiente;Descripcion_Corta;Descripcion_Larga;Medidas_Mueble;Peso;Embalaje;Cantidad_Paquetes;URLs_Fotos;Imagen_Tecnica;Manual_PDF;Video_YouTube;Relacionados;Detalles_Tecnicos
221150;Escritorio OPUS;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/Escena Art 221150.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/Art 221150 (pd) - Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/Art 221150 (pf) - Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/Art 221150 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/Art 221150 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/A221150-IA-IM02.PDF;;;
320-12;Placard ORBIS;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/Escena Art 320-12 (Carvalho).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/Escena Art 320-12 (pf) Carvalho (abierto) (sin fondo).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/320-12 - Real 1 (pd).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/320-12 - Real 1 (pf).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/Art 320-12 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/Art 320-12 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/A032012-IA-IM06.PDF;;;
320-13;Placard SPECULA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Escena Art 320-13 (carvalho) (pf) (abierto).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Escena Art 320-13 (carvalho) (pf).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Art 320-13 -Real 1 (Carvalho) (pf).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Art 320-13 -Real 2 (Carvalho) (pd).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Art 320-13 (pf) (Carvalho) Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Art 320-13 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/A032013-IA-IM01.PDF;;;
708-15;Placard SERENA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Escena Art 708-15 (Carvalho).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Escena Art 708-15 (pf) (Carvalho) (abierto) (con ropa).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Escena Art 708-15 (pf) (Carvalho) A.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Escena Art 708-15 (pf) (Carvalho).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Art 708-15 - Real 1 (pf).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Art 708-15 - Real 2 (pd).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Art 708-15 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Art 708-15 - Medidas.png;;;;
710150;Botinero ARCA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 3.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 4.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 5.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 6.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 7.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 8.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/Art 710150 - Silueta.png";;/Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/A710150-IA-IM00.pdf;;;
712151;cama BOX NIDUS;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Escena Art 712151.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Art 712152 (pd) Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Art 712152 (pl) Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Art 712152 (pls) Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Art 712151 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Art 712151 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/A712151-IA-IM00.PDF;;;
712152;Cama BOX AUREA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/Escena 712152 A.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 3.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 4.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 5.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 6.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 7.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 8.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/Art 712152 - Silueta.jpg";/Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/Art 712152 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/A712152-IA-IM01.PDF;;;
748252;Respaldo YUKI;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/Escena Art 748252.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/Art 748252 (pf) Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/Art 748252 (pf) Real 2.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/Art 748252 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/Art 748252 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/A748252-IA-IM00.PDF;;;
828-5;Mesa de luz LUMA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Escena 828-5 (blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Escena Art 828-5 (roble-blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (blanco) (pd).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (Blanco) (pf) - Silueta.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (blanco) (pf).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (pd) - Abierto.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (pd).jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (pf) - Silueta.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (pf).jpg";/Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/A008285-IA-IM00.PDF;;;
839-5;Cómoda ALBA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/Escena Art 839-5 (b).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/Escena Art 839-5 (b-rm).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 1 v1 a (blanco.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 1 v1 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 2 v2 a (blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 2 v2 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 3 v1 a (blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 3 v1 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 4 v1 a (blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 4 v1 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 5 v1 a (blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 5 v1 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 6 v1 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/Art 839-5 (Blanco) (pf) - Silueta.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/Art 839-5 (pf) - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/Art 839-5 - Medidas.jpg;/Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/A008395-IA-IM01.PDF;;;
902-2;Bahiut GAMMEL con 4 puertas y cajon;Blanco - Roble;Clásica;Living;Elegante bahiut de diseño nórdico con amplio espacio de guardado.;Un diseño industrial único que combina resistencia y estética. Pensado para quienes buscan un espacio de guardado funcional y con personalidad dentro del hogar.;150x45x100 cm;20 kgs;125x65x15 cm;2 bultos;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/Escena Art 902-2 (carvalho).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/Escena Art 902-2 (roble miel-blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/902-2B Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/902-2B Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/902-2B Foto Real 3.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/902-2B Foto Real 4.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/902-2C Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/902-2C Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/902-2C Foto Real 3.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/902-2C Foto Real 4.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/902-2C Foto Real 5.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/902-2C Foto Real 6.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/Art 902-2 (RM) - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 902-2 (Bahiut GAMMEL)/A009022-IA-IM05.PDF;https://www.youtube.com/watch?v=dQw4w9WgXcQ;455090;Materiales: MDP 15mm con acabado melamínico de alta resistencia.
429090;Mesa SKIEN;;Comedores;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Comedores/Art 429090 (Mesa SKIEN)/Escena 429090 + (Riviera).png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 429090 (Mesa SKIEN)/Escena 429090 + sillas blancas (Riviera).png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 429090 (Mesa SKIEN)/Escena 429090 + sillas negras (Riviera).png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 429090 (Mesa SKIEN)/Art 429090 - Real 1.png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 429090 (Mesa SKIEN)/Art 429090 - Real 2.png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 429090 (Mesa SKIEN)/Art 429090 - Real 3.png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 429090 (Mesa SKIEN)/Art 429090 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Comedores/Art 429090 (Mesa SKIEN)/Art 429090 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Comedores/Art 429090 (Mesa SKIEN)/A429090-IA-IM00.PDF;;;
455090;Barra Desayunador VIKEN;Roble miel;Viken;Comedor;Moderna barra desayunador ideal para separar ambientes y desayunos rápidos.;La línea VIKEN se caracteriza por su robustez y líneas simples, aportando un toque de calidez nórdica a tu comedor o cocina diaria.;120x45x100 cm;18 kgs;125x50x12 cm;1 bulto;"/Artículos Gacela Muebles 2026/Línea Comedores/Art 455090 (Barra-Desayunador VIKEN)/Escena Art 455090.png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 455090 (Barra-Desayunador VIKEN)/Art 455090 (pd).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 455090 (Barra-Desayunador VIKEN)/Art 455090 (pf).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 455090 (Barra-Desayunador VIKEN)/Art 455090 (pfs).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 455090 (Barra-Desayunador VIKEN)/Art 455090 (pi).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 455090 (Barra-Desayunador VIKEN)/Art 455090 (pl).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 455090 (Barra-Desayunador VIKEN)/Art 455090 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Comedores/Art 455090 (Barra-Desayunador VIKEN)/Art 455090 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Comedores/Art 455090 (Barra-Desayunador VIKEN)/A455090-IA-IM00.PDF;;902-2;Tapa de 25mm de espesor.
557;Mesa LEIR;;Comedores;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Escena (combo comedor 557) (blanco).png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Escena (combo comedor 557) (negro).png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Art 557 (detalle base de patas).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Art 557 (detalle pata).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Art 557 (detalle tapa y pata).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Art 557 (pd).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Art 557 (pf) - Silueta.jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Art 557 (pf).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Art 557 (pi).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Art 557 (pl).jpg";/Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/Art 557 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Comedores/Art 557 (Mesa LEIR)/A000557-IA-IM02.PDF;;;
557-1;Mesa ODENSE;;Comedores;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Comedores/Art 557-1 (Mesa ODENSE)/Escena (combo comedor 557-1) (ssllas blancas).png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557-1 (Mesa ODENSE)/Escena (combo comedor 557-1) (ssllas negras).png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557-1 (Mesa ODENSE)/Art 557-1 - Real 2 (pf).png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557-1 (Mesa ODENSE)/Art 557-1 (pf) - Silueta.png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557-1 (Mesa ODENSE)/Art 557-2.png";/Artículos Gacela Muebles 2026/Línea Comedores/Art 557-1 (Mesa ODENSE)/Art 557-1 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Comedores/Art 557-1 (Mesa ODENSE)/A005571-IA-IM01 - TORNILLO 35.PDF;;;
557-2;Mesa TAMPERE;;Comedores;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Comedores/Art 557-2 (Mesa TAMPERE)/Escena (combo comedor 557-2).png; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557-2 (Mesa TAMPERE)/Art 557-2 (pd).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557-2 (Mesa TAMPERE)/Art 557-2 (pf).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557-2 (Mesa TAMPERE)/Art 557-2 (pi).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557-2 (Mesa TAMPERE)/Art 557-2 (pl).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557-2 (Mesa TAMPERE)/Art 557-2 (Riviera) (pd) (Catálogo 2025).jpg; /Artículos Gacela Muebles 2026/Línea Comedores/Art 557-2 (Mesa TAMPERE)/Art 557-2 (Silueta).png";/Artículos Gacela Muebles 2026/Línea Comedores/Art 557-2 (Mesa TAMPERE)/Art 557-2 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Comedores/Art 557-2 (Mesa TAMPERE)/A005572-IA-IM01.PDF;;;
326270;Mesa de centro LOA;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 326270 (Mesa de centro LOA)/Escena 326270.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 326270 (Mesa de centro LOA)/326270 Foto Real 1.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 326270 (Mesa de centro LOA)/326270 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 326270 (Mesa de centro LOA)/326270 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 326270 (Mesa de centro LOA)/Art 326270 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Curvalba/Art 326270 (Mesa de centro LOA)/Art 326270 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 326270 (Mesa de centro LOA)/A326270-IA-IM00.PDF;;;
334271;Escritorio ATUEL;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 334271 (Escritorio ATUEL)/Escena Art 334271.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334271 (Escritorio ATUEL)/334271 Foto Real 1.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334271 (Escritorio ATUEL)/334271 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334271 (Escritorio ATUEL)/334271 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334271 (Escritorio ATUEL)/334271 Foto Real 4.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334271 (Escritorio ATUEL)/334271 Foto Real 5.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334271 (Escritorio ATUEL)/Art 334271 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Curvalba/Art 334271 (Escritorio ATUEL)/Art 334271 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 334271 (Escritorio ATUEL)/A334271-IA-IM00.PDF;;;
334272;Escritorio HUDSON;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 334272 (Escritorio HUDSON)/Escena Art 334272 A.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334272 (Escritorio HUDSON)/334272 Foto Real 1.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334272 (Escritorio HUDSON)/334272 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334272 (Escritorio HUDSON)/334272 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334272 (Escritorio HUDSON)/334272 Foto Real 4.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334272 (Escritorio HUDSON)/334272 Foto Real 5.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 334272 (Escritorio HUDSON)/Art 334272 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Curvalba/Art 334272 (Escritorio HUDSON)/Art 334272 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 334272 (Escritorio HUDSON)/A334272-IA-IM00.PDF;;;
353270;Biblioteca ARNO;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 353270 (Biblioteca ARNO)/Escena Art 353270.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 353270 (Biblioteca ARNO)/353270 Foto Real 1.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 353270 (Biblioteca ARNO)/353270 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 353270 (Biblioteca ARNO)/353270 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 353270 (Biblioteca ARNO)/353270 Foto Real 4.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 353270 (Biblioteca ARNO)/353270 Foto Real 5.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 353270 (Biblioteca ARNO)/Art 353270 (pf) - Silueta.png";/Artículos Gacela Muebles 2026/Línea Curvalba/Art 353270 (Biblioteca ARNO)/Art 353270 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 353270 (Biblioteca ARNO)/A353270-IA-IM00.PDF;;;
372150;Set de mesas LOIRE;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 372150 (Set de mesas LOIRE)/Escena Art 372150 A.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 372150 (Set de mesas LOIRE)/Art 372150 Foto Real 1.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 372150 (Set de mesas LOIRE)/Art 372150 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 372150 (Set de mesas LOIRE)/Art 372150 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 372150 (Set de mesas LOIRE)/Art 372150 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Curvalba/Art 372150 (Set de mesas LOIRE)/Art 372150 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 372150 (Set de mesas LOIRE)/A372150-IA-IM00.PDF;;;
405270;Bahiut TAGUS;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 405270 (Bahiut TAGUS)/405270 Foto Real 1.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 405270 (Bahiut TAGUS)/405270 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 405270 (Bahiut TAGUS)/405270 Foto Real 3 Interior.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 405270 (Bahiut TAGUS)/405270 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 405270 (Bahiut TAGUS)/405270 Foto Real 5.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 405270 (Bahiut TAGUS)/405270 Foto Real 6 - copia.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 405270 (Bahiut TAGUS)/405270 - Silueta.jpg";;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 405270 (Bahiut TAGUS)/A405270-IA-IM00.PDF;;;
446270;Rack NIGGER;;Curvalba;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Curvalba/Art 446270 (Rack NIGGER)/Escena Art 446270.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 446270 (Rack NIGGER)/446270 Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 446270 (Rack NIGGER)/446270 Real 1.png; /Artículos Gacela Muebles 2026/Línea Curvalba/Art 446270 (Rack NIGGER)/Art 446270 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Curvalba/Art 446270 (Rack NIGGER)/Art 446270 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Curvalba/Art 446270 (Rack NIGGER)/A446270-IA-IM00.PDF;;;
