SKU;Nombre_Comercial;Color;Linea;Ambiente;Descripcion_Corta;Descripcion_Larga;Medidas_Mueble;Peso;Embalaje;Cantidad_Paquetes;URLs_Fotos;Imagen_Tecnica;Manual_PDF;Video_YouTube;Relacionados;Detalles_Tecnicos
334026;Escritorio SKOG;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 334026 (Escritorio SKOG)/Escena Art 334026.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334026 (Escritorio SKOG)/334026 Real 1 v1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334026 (Escritorio SKOG)/334026 Real 2 v1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334026 (Escritorio SKOG)/334026 Real 3 v1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334026 (Escritorio SKOG)/334026 Real 4 v1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334026 (Escritorio SKOG)/Art Set 334026 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Nordik/Art 334026 (Escritorio SKOG)/Art 334026 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Nordik/Art 334026 (Escritorio SKOG)/A334026-IA-IM00.PDF;;;
334093;Escritorio CRUX;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 334093 (Escritorio CRUX)/Escena Art 334093.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334093 (Escritorio CRUX)/334093 Foto Real 1.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334093 (Escritorio CRUX)/334093 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334093 (Escritorio CRUX)/334093 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334093 (Escritorio CRUX)/334093 Foto Real 4.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334093 (Escritorio CRUX)/334093 Foto Real 5.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334093 (Escritorio CRUX)/334093 Foto Real 6.png";;/Artículos Gacela Muebles 2026/Línea Nordik/Art 334093 (Escritorio CRUX)/A334093-IA-LOTE 343.PDF;;;
334330;Escritorio TRA;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 334330 (Escritorio TRA)/Escena Art 334330.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334330 (Escritorio TRA)/334330 Foto Real 1 (bierto).png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334330 (Escritorio TRA)/334330 Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334330 (Escritorio TRA)/334330 Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 334330 (Escritorio TRA)/Art 334330 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Nordik/Art 334330 (Escritorio TRA)/Art 334330 - Medidas.png;;;;
353330;Repisa LINJE;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 353330 (Repisa LINJE)/Escena Repisa Escandinava (pd) A.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 353330 (Repisa LINJE)/Escena Repisa Escandinava (pd).png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 353330 (Repisa LINJE)/Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 353330 (Repisa LINJE)/Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 353330 (Repisa LINJE)/Foto Real 3.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 353330 (Repisa LINJE)/Art Set 353330 (pf) - Silueta.png";/Artículos Gacela Muebles 2026/Línea Nordik/Art 353330 (Repisa LINJE)/Art 353330 - Medidas.png;;;;
372020;Set de mesas oval LUND;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/372020 Foto Real 1.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/372020 Foto Real 10.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/372020 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/372020 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/372020 Foto Real 4.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/372020 Foto Real 5.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/372020 Foto Real 6.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/372020 Foto Real 7.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/372020 Foto Real 8.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/372020 Foto Real 9.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/Art Set 372020 (pf) - Silueta.png";;/Artículos Gacela Muebles 2026/Línea Nordik/Art 372020 (Set de mesas oval LUND)/A372020-IA-IM01.PDF;;;
372080;Set de mesas crux ALDE;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/Art 372080 (Escena real).jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/Escena Art 372080.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/372080 Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/372080 Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/372080 Foto Real 3.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/372080 Foto Real 4.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/372080 Foto Real 5.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/372080 Foto Real 7.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/372080 Foto Real 8.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/Art 372080 (sin fondo).png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/Art Set 372080 (pf) - Silueta.png";;/Artículos Gacela Muebles 2026/Línea Nordik/Art 372080 (Set de mesas crux ALDE)/A372080-IA-PR03.PDF;;;
405330;Bahiut VIND;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 405330 (Bahiut VIND)/Escena Bahiut Escandinavo B.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 405330 (Bahiut VIND)/Foto Real 1 (abierto).png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 405330 (Bahiut VIND)/Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 405330 (Bahiut VIND)/Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 405330 (Bahiut VIND)/Art Set 405330 (pf) - Silueta.png";/Artículos Gacela Muebles 2026/Línea Nordik/Art 405330 (Bahiut VIND)/Art 405330 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Nordik/Art 405330 (Bahiut VIND)/A405330-IA-IM00.PDF;;;
446330;Rack NORDEN;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 446330 (Rack NORDEN)/Escena Rack Escandinavo A (natural).png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 446330 (Rack NORDEN)/446330 Foto Real 1.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 446330 (Rack NORDEN)/446330 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 446330 (Rack NORDEN)/446330 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 446330 (Rack NORDEN)/446330 Foto Real 4.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 446330 (Rack NORDEN)/Art 446330 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Nordik/Art 446330 (Rack NORDEN)/Art 446330 - Medidas.png;;;;
716330;Cómoda EIRA;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 716330 (Cómoda EIRA)/Escena Art 716330 Cómoda Nordik.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 716330 (Cómoda EIRA)/716330 Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 716330 (Cómoda EIRA)/716330 Foto Real 2.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 716330 (Cómoda EIRA)/716330 Foto Real 3.jpg; /Artículos Gacela Muebles 2026/Línea Nordik/Art 716330 (Cómoda EIRA)/Art 716330 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Nordik/Art 716330 (Cómoda EIRA)/Art 716330 - Medidas.png;;;;
732330;Mesa de luz ARKA;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 732330 (Mesa de luz ARKA)/Escena Mesa de luz Escandinava.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 732330 (Mesa de luz ARKA)/Mesa de luz Escandinava - Real (pfs).png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 732330 (Mesa de luz ARKA)/Mesa de luz Escandinava - Real (pis).png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 732330 (Mesa de luz ARKA)/Art 732330 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Nordik/Art 732330 (Mesa de luz ARKA)/Art 732330 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Nordik/Art 732330 (Mesa de luz ARKA)/A732330-IA-IM00.PDF;;;
742332;Placard VINTER;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 742332 (Placard VINTER)/Escena Art 742332.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742332 (Placard VINTER)/742332 (pf) Foto Real.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742332 (Placard VINTER)/742332 Foto Real.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742332 (Placard VINTER)/A742022 (pf) (abierto con ropa).png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742332 (Placard VINTER)/Art 742332 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Nordik/Art 742332 (Placard VINTER)/Art 742332 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Nordik/Art 742332 (Placard VINTER)/A742332-IA-IM00.PDF;;;
742334;Placard KLAR;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 742334 (Placard KLAR)/Escena Art Placard 024 Escandinava.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742334 (Placard KLAR)/Art 742334 (pf) Real 1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742334 (Placard KLAR)/Art 742334 (pi) Real 1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742334 (Placard KLAR)/Art 742334 (pf) (abierto) (con ropa).png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742334 (Placard KLAR)/Art 742334 (pf) - Silueta.png";/Artículos Gacela Muebles 2026/Línea Nordik/Art 742334 (Placard KLAR)/Art 742334 - Medidas.png;;;;
742336;Placard STRAND;;Nordik;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Nordik/Art 742336 (Placard STRAND)/Escena art 742336.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742336 (Placard STRAND)/742336 Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742336 (Placard STRAND)/742336 Foto Real 2 (sin puertas).png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742336 (Placard STRAND)/742336 Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742336 (Placard STRAND)/742336 Foto Real 3.png; /Artículos Gacela Muebles 2026/Línea Nordik/Art 742336 (Placard STRAND)/Art 742336 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Nordik/Art 742336 (Placard STRAND)/Art 742336 - Medidas.png;;;;
